ISO,country,region,geo,lat,lon,world_region,MPI
AFG,Afghanistan,Badakhshan,"(36.7347725, 70.81199529999999)",36.7347725,70.8119953,South Asia,0.387
AFG,Afghanistan,Badghis,"(35.1671339, 63.7695384)",35.1671339,63.7695384,South Asia,0.466
AFG,Afghanistan,Baghlan,"(35.8042947, 69.2877535)",35.8042947,69.2877535,South Asia,0.3
AFG,Afghanistan,Balkh,"(36.7550603, 66.8975372)",36.7550603,66.8975372,South Asia,0.301
AFG,Afghanistan,Bamyan,"(34.8100067, 67.8212104)",34.8100067,67.8212104,South Asia,0.325
AFG,Afghanistan,Daykundi,"(33.669495, 66.0463534)",33.669495,66.0463534,South Asia,0.313
AFG,Afghanistan,Farah,"(32.4464635, 62.1454133)",32.4464635,62.1454133,South Asia,0.319
AFG,Afghanistan,Faryab,"(36.0795613, 64.90595499999999)",36.0795613,64.905955,South Asia,0.25
AFG,Afghanistan,Ghazni,"(33.5450587, 68.4173972)",33.5450587,68.4173972,South Asia,0.245
AFG,Afghanistan,Ghor,"(34.0995776, 64.90595499999999)",34.0995776,64.905955,South Asia,0.384
AFG,Afghanistan,Helmand,"(31.3636474, 63.95861110000001)",31.3636474,63.9586111,South Asia,0.261
AFG,Afghanistan,Herat,"(11.6155109, 104.3791912)",11.6155109,104.3791912,South Asia,0.353
AFG,Afghanistan,Jawzjan,"(36.8969692, 65.6658568)",36.8969692,65.6658568,South Asia,0.293
AFG,Afghanistan,Kabul,"(34.5553494, 69.207486)",34.5553494,69.207486,South Asia,0.117
AFG,Afghanistan,Kandahar,"(31.628871, 65.7371749)",31.628871,65.7371749,South Asia,0.437
AFG,Afghanistan,Kapisa,"(34.9810572, 69.6214562)",34.9810572,69.6214562,South Asia,0.28
AFG,Afghanistan,Khost,"(33.3338472, 69.9371673)",33.3338472,69.9371673,South Asia,0.296
AFG,Afghanistan,Kunarha,"(34.8465893, 71.097317)",34.8465893,71.097317,South Asia,0.269
AFG,Afghanistan,Kunduz,"(36.7285907, 68.8680663)",36.7285907,68.8680663,South Asia,0.294
AFG,Afghanistan,Laghman,"(34.6897687, 70.1455805)",34.6897687,70.1455805,South Asia,0.369
AFG,Afghanistan,Logar,"(34.0145518, 69.1923916)",34.0145518,69.1923916,South Asia,0.187
AFG,Afghanistan,Nangarhar,"(34.1718313, 70.6216794)",34.1718313,70.6216794,South Asia,0.287
AFG,Afghanistan,Nimroz,"(31.0261488, 62.4504154)",31.0261488,62.4504154,South Asia,0.231
AFG,Afghanistan,Nooristan,"(35.3250223, 70.90712359999999)",35.3250223,70.9071236,South Asia,0.611
AFG,Afghanistan,Paktika,"(32.2645386, 68.52471489999999)",32.2645386,68.5247149,South Asia,0.137
AFG,Afghanistan,Paktya,"(33.706199, 69.3831079)",33.706199,69.3831079,South Asia,0.218
AFG,Afghanistan,Panjsher,"(35.5025772, 69.9550338)",35.5025772,69.9550338,South Asia,0.12
AFG,Afghanistan,Parwan,"(34.9630977, 68.81088489999999)",34.9630977,68.8108849,South Asia,0.294
AFG,Afghanistan,Samangan,"(35.9807296, 67.57085359999999)",35.9807296,67.5708536,South Asia,0.35
AFG,Afghanistan,Sar-E-Pul,"(35.6707473, 66.0463534)",35.6707473,66.0463534,South Asia,0.341
AFG,Afghanistan,Takhar,"(36.6698013, 69.4784541)",36.6698013,69.4784541,South Asia,0.361
AFG,Afghanistan,Urozgan,"(32.9271287, 66.1415263)",32.9271287,66.1415263,South Asia,0.624
AFG,Afghanistan,Wardak,"(34.3513494, 68.2385339)",34.3513494,68.2385339,South Asia,0.34
AFG,Afghanistan,Zabul,"(32.1918782, 67.1894488)",32.1918782,67.1894488,South Asia,0.175
BDI,Burundi,Bujumbura Mairie,"(-3.4146958, 29.3598782)",-3.4146958,29.3598782,Sub-Saharan Africa,0.164
BDI,Burundi,Nord,"(-3.373056, 29.918886)",-3.373056,29.918886,Sub-Saharan Africa,0.501
BDI,Burundi,Centre-Est,"(9.0630743, 7.464915)",9.0630743,7.464915,Sub-Saharan Africa,0.473
BDI,Burundi,Ouest,"(-3.373056, 29.918886)",-3.373056,29.918886,Sub-Saharan Africa,0.499
BDI,Burundi,Sud,"(14.6090537, 121.0222565)",14.6090537,121.0222565,Sub-Saharan Africa,0.422
BEN,Benin,Alibori,"(10.9681093, 2.7779813)",10.9681093,2.7779813,Sub-Saharan Africa,0.528
BEN,Benin,Atacora,"(10.7954931, 1.6760691)",10.7954931,1.6760691,Sub-Saharan Africa,0.454
BEN,Benin,Atlantique,"(6.6588391, 2.2236667)",6.6588391,2.2236667,Sub-Saharan Africa,0.278
BEN,Benin,Borgou,"(9.5340864, 2.7779813)",9.5340864,2.7779813,Sub-Saharan Africa,0.351
BEN,Benin,Collines,"(13.718252, -2.302446)",13.718252,-2.302446,Sub-Saharan Africa,0.292
BEN,Benin,Couffo,"(7.003589400000001, 1.7538817)",7.0035894,1.7538817,Sub-Saharan Africa,0.345
BEN,Benin,Donga,"(9.7191867, 1.6760691)",9.7191867,1.6760691,Sub-Saharan Africa,0.335
BEN,Benin,Littoral,"(6.3806973, 2.4406387)",6.3806973,2.4406387,Sub-Saharan Africa,0.083
BEN,Benin,Mono,"(6.6607182, 1.7538817)",6.6607182,1.7538817,Sub-Saharan Africa,0.259
BEN,Benin,Plateau,"(7.3445141, 2.539603)",7.3445141,2.539603,Sub-Saharan Africa,0.347
BEN,Benin,Zou,"(7.346926799999999, 2.0665197)",7.3469268,2.0665197,Sub-Saharan Africa,0.334
BFA,Burkina Faso,Boucle de mouhoun,"(8.8556838, 7.179025999999999)",8.8556838,7.179026,Sub-Saharan Africa,0.591
BFA,Burkina Faso,Cascades,"(10.4072992, -4.5624426)",10.4072992,-4.5624426,Sub-Saharan Africa,0.493
BFA,Burkina Faso,Centre,"(12.3425897, -1.443469)",12.3425897,-1.443469,Sub-Saharan Africa,0.207
BFA,Burkina Faso,Centre-est,"(11.5247674, -0.1494988)",11.5247674,-0.1494988,Sub-Saharan Africa,0.58
BFA,Burkina Faso,Centre-nord,"(13.1724464, -0.9056623)",13.1724464,-0.9056623,Sub-Saharan Africa,0.575
BFA,Burkina Faso,Centre-ouest,"(11.8798466, -2.302446)",11.8798466,-2.302446,Sub-Saharan Africa,0.554
BFA,Burkina Faso,Centre-sud,"(11.5228911, -1.0586135)",11.5228911,-1.0586135,Sub-Saharan Africa,0.513
